Id,Code,Code slug,Number,Name,Created at,Updated at
8800,MUS 179E HM,MUS-179E-HM,179,Popular Music: A Global Vision  / Special Topics in Music  ,2023-10-31 05:26:35 UTC,2023-10-31 05:26:35 UTC
8799,MUS 131  SC,MUS-131-SC,131,Mariachi Performance & Culture    ,2023-10-31 05:26:35 UTC,2023-10-31 05:26:35 UTC
8798,MS  183  PO,MS-183-PO,183,Cinema and AI    ,2023-10-31 05:26:23 UTC,2023-10-31 05:26:23 UTC
8797,MS  139  SC,MS-139-SC,139,Socially-Engaged Software    ,2023-10-31 05:26:23 UTC,2023-10-31 05:26:23 UTC
8796,MS  125  SC,MS-125-SC,125,Critical Game Studies    ,2023-10-31 05:26:23 UTC,2023-10-31 05:26:23 UTC
8795,MATH189AHHM,MATH189AHHM,189,Making Mathematics  / Special Topics in Mathematics  ,2023-10-31 05:26:19 UTC,2023-10-31 05:26:19 UTC
8794,LIT 179AHHM,LIT-179AHHM,179,Cuban Revolution through Film  / Special Topics in Literature  ,2023-10-31 05:26:09 UTC,2023-10-31 05:26:09 UTC
8793,LGCS117  PO,LGCS117-PO,117,Writing Systems    ,2023-10-31 05:26:07 UTC,2023-10-31 05:26:07 UTC
8792,PSYC164  SC,PSYC164-SC,164,"Psychology, Media, and Law    ",2023-10-31 05:26:04 UTC,2023-10-31 05:26:04 UTC
8791,PSYC144  CM,PSYC144-CM,144,Leadership and Persuasion    ,2023-10-31 05:26:04 UTC,2023-10-31 05:26:04 UTC
8790,LEAD144  CM,LEAD144-CM,144,Leadership and Persuasion    ,2023-10-31 05:26:04 UTC,2023-10-31 05:26:04 UTC
8789,ITAL187C SC,ITAL187C-SC,187,(Dis)Ability and Italy    ,2023-10-31 05:25:55 UTC,2023-10-31 05:25:55 UTC
8788,PSYC140A  PZ,PSYC140A-PZ,140,Psychology of Mindfulness    ,2023-10-31 05:25:49 UTC,2023-10-31 05:25:49 UTC
8787,HIST171  PO,HIST171-PO,171,Scandinavian History to 1800    ,2023-10-31 05:25:46 UTC,2023-10-31 05:25:46 UTC
8786,HIST151  SC,HIST151-SC,151,"History, Music, and Protest    ",2023-10-31 05:25:46 UTC,2023-10-31 05:25:46 UTC
8785,HIST142  CM,HIST142-CM,142,Cult of Fascism in 20th C Europe    ,2023-10-31 05:25:46 UTC,2023-10-31 05:25:46 UTC
8784,HIST069  PZ,HIST069-PZ,69,Belief and Non-belief    ,2023-10-31 05:25:45 UTC,2023-10-31 05:25:45 UTC
8783,HIST046  PZ,HIST046-PZ,46,African History through Film    ,2023-10-31 05:25:45 UTC,2023-10-31 05:25:45 UTC
8782,GOVT129A CM,GOVT129A-CM,129,Ethics & International Relations    ,2023-10-31 05:25:40 UTC,2023-10-31 05:25:40 UTC
8781,GEOG179J HM,GEOG179J-HM,179,The Future  / Special Topics in Geography  ,2023-10-31 05:25:33 UTC,2023-10-31 05:25:33 UTC
8780,GEOG179I HM,GEOG179I-HM,179,Feeling Natural?  / Special Topics in Geography  ,2023-10-31 05:25:33 UTC,2023-10-31 05:25:33 UTC
8779,GWS 173  PO,GWS-173-PO,173,Premodern Intersectionality    ,2023-10-31 05:25:31 UTC,2023-10-31 05:25:31 UTC
8778,GWS 166  PO,GWS-166-PO,166,Witchcraft    ,2023-10-31 05:25:31 UTC,2023-10-31 05:25:31 UTC
8777,PHIL108  PO,PHIL108-PO,108,"Political Animals, Animal Ethics    ",2023-10-31 05:25:19 UTC,2023-10-31 05:25:19 UTC
8776,HIST157  PZ,HIST157-PZ,157,Our Extractive World    ,2023-10-31 05:25:19 UTC,2023-10-31 05:25:19 UTC
8775,GEOL133  PO,GEOL133-PO,133,Paleoclimatology    ,2023-10-31 05:25:19 UTC,2023-10-31 05:25:19 UTC
8774,CLES179B HM,CLES179B-HM,179,Technology & Policy for Climate  / Spec Topics: Climate Science  ,2023-10-31 05:25:19 UTC,2023-10-31 05:25:19 UTC
8773,CLES179A HM,CLES179A-HM,179,Transportation Tech&Climate Poli  / Spec Topics: Climate Science  ,2023-10-31 05:25:19 UTC,2023-10-31 05:25:19 UTC
8772,CLES120  HM,CLES120-HM,120,Games for ClimateChange Literacy    ,2023-10-31 05:25:19 UTC,2023-10-31 05:25:19 UTC
8771,WRIT197N SC,WRIT197N-SC,197,Verse Engineering    ,2023-10-31 05:25:13 UTC,2023-10-31 05:25:13 UTC
8770,MS  187  SC,MS-187-SC,187,Coded Poetry    ,2023-10-31 05:25:13 UTC,2023-10-31 05:25:13 UTC
8769,ENGL168S SC,ENGL168S-SC,168,Craft&Process Contemp Amer Prose    ,2023-10-31 05:25:13 UTC,2023-10-31 05:25:13 UTC
8768,ENGL084  PO,ENGL084-PO,84,Dream Lore    ,2023-10-31 05:25:12 UTC,2023-10-31 05:25:12 UTC
8767,ENGL048  PZ,ENGL048-PZ,48,Autotheory Workshop    ,2023-10-31 05:25:12 UTC,2023-10-31 05:25:12 UTC
8766,ENGL047  PZ,ENGL047-PZ,47,Longform Journalism Practicum    ,2023-10-31 05:25:12 UTC,2023-10-31 05:25:12 UTC
8765,ENGR207  HM,ENGR207-HM,207,DigitalSignalProcess: Thry & App    ,2023-10-31 05:25:09 UTC,2023-10-31 05:25:09 UTC
8764,ENGR190BHHM,ENGR190BHHM,190,Very Large Scale Integration  / Special Topics in Engineering  ,2023-10-31 05:25:08 UTC,2023-10-31 05:25:08 UTC
8763,ENGR190BGHM,ENGR190BGHM,190,Sustainable Design  / Special Topics in Engineering  ,2023-10-31 05:25:08 UTC,2023-10-31 05:25:08 UTC
8762,ECON185  CM,ECON185-CM,185,Economics of Education    ,2023-10-31 05:25:04 UTC,2023-10-31 05:25:04 UTC
8761,ECON177  CM,ECON177-CM,177,Economic Growth    ,2023-10-31 05:25:04 UTC,2023-10-31 05:25:04 UTC
8760,ECON165  PZ,ECON165-PZ,165,Economics of Immigration    ,2023-10-31 05:25:04 UTC,2023-10-31 05:25:04 UTC
8759,ECON030  PZ,ECON030-PZ,30,Econ Basics for Non-Majors    ,2023-10-31 05:25:04 UTC,2023-10-31 05:25:04 UTC
8758,PSYC166  CM,PSYC166-CM,166,Fdn of Data Sci for Human Cogn    ,2023-10-31 05:24:54 UTC,2023-10-31 05:24:54 UTC
8757,DANC174  PO,DANC174-PO,174,Alexander Technique - Group    ,2023-10-31 05:24:50 UTC,2023-10-31 05:24:50 UTC
8756,DANC173  PO,DANC173-PO,173,Alexander Technique - Individual    ,2023-10-31 05:24:50 UTC,2023-10-31 05:24:50 UTC
8755,DANC172  PO,DANC172-PO,172,Alexander Technique - Individual    ,2023-10-31 05:24:50 UTC,2023-10-31 05:24:50 UTC
8754,DANC071B SC,DANC071B-SC,71,Intro to Latin Hustle    ,2023-10-31 05:24:50 UTC,2023-10-31 05:24:50 UTC
8753,DANC071A SC,DANC071A-SC,71,Intro to Latin Hustle    ,2023-10-31 05:24:50 UTC,2023-10-31 05:24:50 UTC
8752,PHIL163  PO,PHIL163-PO,163,Advanced Logic    ,2023-10-31 05:24:46 UTC,2023-10-31 05:24:46 UTC
8751,NEUR125L JT,NEUR125L-JT,125,"Minds, Brains, and Programs    ",2023-10-31 05:24:46 UTC,2023-10-31 05:24:46 UTC
8750,ID  009  PO,ID-009-PO,9,Peer Mentoring in STEM - Computer Science    ,2023-10-31 05:24:46 UTC,2023-11-07 22:02:59 UTC
8749,CSCI181DTPO,CSCI181DTPO,181,Computational Design Tools    ,2023-10-31 05:24:46 UTC,2023-10-31 05:24:46 UTC
8748,CSCI181AOHM,CSCI181AOHM,181,Augmented & Virtual Reality  / Computer Science Seminar  ,2023-10-31 05:24:46 UTC,2023-10-31 05:24:46 UTC
8747,CSCI046L CM,CSCI046L-CM,46,Data Structures & Algorithms Lab    ,2023-10-31 05:24:45 UTC,2023-10-31 05:24:45 UTC
8746,CSCI022  SC,CSCI022-SC,22,Data Structures and Algorithms    ,2023-10-31 05:24:45 UTC,2023-10-31 05:24:45 UTC
8745,COGS123L JT,COGS123L-JT,123,"Mind, Brains & Programs    ",2023-10-31 05:24:45 UTC,2023-10-31 05:24:45 UTC
8744,CLAS023  SC,CLAS023-SC,23,Good Life: Ancient Live Well    ,2023-10-31 05:24:39 UTC,2023-10-31 05:24:39 UTC
8743,ENGL169  PO,ENGL169-PO,169,Q/TOC Critique & Latinx Lit    ,2023-10-31 05:24:36 UTC,2023-10-31 05:24:36 UTC
8742,CHEM181  KS,CHEM181-KS,181,Specialized Metabolits    ,2023-10-31 05:24:34 UTC,2023-10-31 05:24:34 UTC
8741,CHEM060  HM,CHEM060-HM,60,Computation in Chemistry    ,2023-10-31 05:24:33 UTC,2023-10-31 05:24:33 UTC
8740,CHEM023BLPO,CHEM023BLPO,23,"Lab, Discovering Chemistry    ",2023-10-31 05:24:33 UTC,2023-10-31 05:24:33 UTC
8739,CHEM023B PO,CHEM023B-PO,23,Discovering Chemistry w/ Lab    ,2023-10-31 05:24:33 UTC,2023-10-31 05:24:33 UTC
8738,ASTR066LXKS,ASTR066LXKS,66,Elementary Astronomy Lab    ,2023-10-31 05:24:15 UTC,2023-10-31 05:24:15 UTC
8737,CHIN123  PO,CHIN123-PO,123,Chinese Culture and Arts    ,2023-10-31 05:24:14 UTC,2023-10-31 05:24:14 UTC
8736,CHIN055  PO,CHIN055-PO,55,Social Issues in China Today    ,2023-10-31 05:24:14 UTC,2023-10-31 05:24:14 UTC
8735,ASIA083  PO,ASIA083-PO,83,The Great Books of China    ,2023-10-31 05:24:14 UTC,2023-10-31 05:24:14 UTC
8734,PSYC114  SC,PSYC114-SC,114,Asian American Child Development    ,2023-10-31 05:24:10 UTC,2023-10-31 05:24:10 UTC
8733,ENGL019  PO,ENGL019-PO,19,Intro to Asian Am Lit    ,2023-10-31 05:24:10 UTC,2023-10-31 05:24:10 UTC
8732,ASAM179Q AA,ASAM179Q-AA,179,Narrative Filmmaking  / Spec Topics:Asian Amer Studies  ,2023-10-31 05:24:10 UTC,2023-10-31 05:24:10 UTC
8731,ASAM179P AA,ASAM179P-AA,179,Afro-AsianPolitics/ExprsvCulture  / Spec Topics:Asian Amer Studies  ,2023-10-31 05:24:10 UTC,2023-10-31 05:24:10 UTC
8730,ASAM124  HM,ASAM124-HM,124,NewDirections:PacIslanderStudies    ,2023-10-31 05:24:10 UTC,2023-10-31 05:24:10 UTC
8729,ARHI123  PO,ARHI123-PO,123,Art & Colonialism in S. Asia    ,2023-10-31 05:24:09 UTC,2023-10-31 05:24:09 UTC
8728,MATH015B PZ,MATH015B-PZ,15,The Art and Math of Surfaces    ,2023-10-31 05:24:07 UTC,2023-10-31 05:24:07 UTC
8727,ART 181D SC,ART-181D-SC,181,Special Topics in Studio Art - Polemics in Contemp Art/Culture    ,2023-10-31 05:24:07 UTC,2023-10-31 05:24:07 UTC
8726,ART 179V HM,ART-179V-HM,179,Generative Art (AnalogToDigital)  / Special Topics in Art  ,2023-10-31 05:24:07 UTC,2023-10-31 05:24:07 UTC
8725,HIST101HAPO,HIST101HAPO,101,History/Biography/Autobiography    ,2023-10-31 05:24:01 UTC,2023-10-31 05:24:01 UTC
8724,HIST101H PO,HIST101H-PO,101,"American History, 1500-1900    ",2023-10-31 05:24:01 UTC,2023-10-31 05:24:01 UTC
8723,ENGL013  PZ,ENGL013-PZ,13,Sci Fiction in 19th C America    ,2023-10-31 05:24:01 UTC,2023-10-31 05:24:01 UTC
8722,ASAM142  PO,ASAM142-PO,142,South Asian American Studies    ,2023-10-31 05:24:01 UTC,2023-10-31 05:24:01 UTC
8721,ASAM123  HM,ASAM123-HM,123,PacIslander Hist&Cult:Life Wrtng    ,2023-10-31 05:24:01 UTC,2023-10-31 05:24:01 UTC
8720,ARHI186D PZ,ARHI186D-PZ,186,"Land, Art: Site-Spec to Decolon    ",2023-10-31 05:24:01 UTC,2023-10-31 05:24:01 UTC
8719,AMST140  SC,AMST140-SC,140,Black Queer America    ,2023-10-31 05:24:01 UTC,2023-10-31 05:24:01 UTC
8718,LIT 179AIHM,LIT-179AIHM,179,Latin American Short Stories  / Special Topics in Literature  ,2023-10-31 05:23:56 UTC,2023-10-31 05:23:56 UTC
8717,SPAN181  PZ,SPAN181-PZ,181,Music in Latin America    ,2023-10-31 05:23:56 UTC,2023-10-31 05:23:56 UTC
8716,SPAN159  PZ,SPAN159-PZ,159,"Cuba, Culture & Revolution    ",2023-10-31 05:23:56 UTC,2023-10-31 05:23:56 UTC
8715,SPAN141  SC,SPAN141-SC,141,Codices Mesoamericanos    ,2023-10-31 05:23:56 UTC,2023-10-31 05:23:56 UTC
8714,PORT044  PZ,PORT044-PZ,44,Advanced Portuguese    ,2023-10-31 05:23:55 UTC,2023-10-31 05:23:55 UTC
8713,ITAL022  SC,ITAL022-SC,22,Intensive Introductory Italian    ,2023-10-31 05:23:55 UTC,2023-10-31 05:23:55 UTC
8712,FREN181  SC,FREN181-SC,181,Humans vs Earth - Humans v Earth: Quakes to Mines    ,2023-10-31 05:23:55 UTC,2023-10-31 05:23:55 UTC
8711,FREN153  SC,FREN153-SC,153,Translating Holocaust Archives    ,2023-10-31 05:23:55 UTC,2023-10-31 05:23:55 UTC
8710,POLI109  SC,POLI109-SC,109,Global Pol of (B)orders & Migrat    ,2023-10-31 05:23:47 UTC,2023-10-31 05:23:47 UTC
8709,POLI106  SC,POLI106-SC,106,Marginalized Voices Global Pol    ,2023-10-31 05:23:47 UTC,2023-10-31 05:23:47 UTC
8708,PSYC143  CM,PSYC143-CM,143,Women and Leadership    ,2023-10-31 05:23:39 UTC,2023-10-31 05:23:39 UTC
8707,PHIL192  CM,PHIL192-CM,192,Feminist Philosophy - Who Needs Feminism?    ,2023-10-31 05:23:39 UTC,2023-10-31 05:23:39 UTC
8706,LEAD143  CM,LEAD143-CM,143,Women and Leadership    ,2023-10-31 05:23:39 UTC,2023-10-31 05:23:39 UTC
8705,ENGL141  PZ,ENGL141-PZ,141,Love & Violence in Erly Amer    ,2023-10-31 05:23:38 UTC,2023-10-31 05:23:38 UTC
8704,LIT 161  AF,LIT-161-AF,161,Africa in France    ,2023-10-31 05:23:36 UTC,2023-10-31 05:23:36 UTC
8703,GWS 081  PO,GWS-081-PO,81,Transformative Justice    ,2023-10-31 05:23:36 UTC,2023-10-31 05:23:36 UTC
8702,AFRI124  AF,AFRI124-AF,124,Post-Colonial African Theory    ,2023-10-31 05:23:36 UTC,2023-10-31 05:23:36 UTC
8701,AFRI110  PZ,AFRI110-PZ,110,Octavia E. Butler: Wild Seed    ,2023-10-31 05:23:36 UTC,2023-10-31 05:23:36 UTC
8700,AFRI020  PZ,AFRI020-PZ,20,Intro African American Psych    ,2023-10-31 05:23:36 UTC,2023-10-31 05:23:36 UTC
8699,WRIT122  SC,WRIT122-SC,122,Proposal and Application Writing    ,2023-04-26 00:26:48 UTC,2023-04-26 00:26:48 UTC
8698,CGH 100  JT,CGH-100-JT,100,Introduction to Public Health    ,2023-04-26 00:26:34 UTC,2023-04-26 00:26:34 UTC
8697,PSYC187A PZ,PSYC187A-PZ,187,Dialectical Behavior Therapy    ,2023-04-26 00:26:21 UTC,2023-04-26 00:26:21 UTC
8696,PSYC179N HM,PSYC179N-HM,179,Love and Power  / Special Topics in Psychology  ,2023-04-26 00:26:21 UTC,2023-04-26 00:26:21 UTC
8695,PSYC111  CM,PSYC111-CM,111,Research Methods Practicum    ,2023-04-26 00:26:21 UTC,2023-04-26 00:26:21 UTC
8694,POLI107  SC,POLI107-SC,107,Race & Colnialism in Glbal Poltc    ,2023-04-26 00:26:10 UTC,2023-04-26 00:26:10 UTC
8693,PE  255  JP,PE-255-JP,255,Basketball Club-Men    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8692,PE  095M JP,PE-095M-JP,95,Studio: Goltz Judo    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8691,PE  095K JP,PE-095K-JP,95,Studio: Method Lagree    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8690,PE  095J JP,PE-095J-JP,95,Studio: Brazilian Jiu Jitsu    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8689,PE  095I JP,PE-095I-JP,95,Studio: CrossFit Reverb    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8688,PE  095H JP,PE-095H-JP,95,Studio: Hot Yoga Clrmt    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8687,PE  095GAJP,PE-095GAJP,95,Studio: Fit Rituals-Aerial Yoga    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8686,PE  095FCJP,PE-095FCJP,95,Studio: SweatLogic - Hot Classes    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8685,PE  095FBJP,PE-095FBJP,95,Studio: SweatLogic - Meditation    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8684,PE  095FAJP,PE-095FAJP,95,Studio: SweatLogic - Reformer    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8683,PE  095E JP,PE-095E-JP,95,Studio: Elite Boxing    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8682,PE  095DCJP,PE-095DCJP,95,Studio: SCUBA-FreeDive Spearfish    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8681,PE  095DBJP,PE-095DBJP,95,Studio: SCUBA - Advanced    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8680,PE  095DAJP,PE-095DAJP,95,Studio: SCUBA - Beginner    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8679,PE  095CFJP,PE-095CFJP,95,Studio: Mpower Yoga-Zumba    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8678,PE  095CEJP,PE-095CEJP,95,Studio: Mpower Yoga-Gentle    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8677,PE  095CDJP,PE-095CDJP,95,Studio: Mpower Yoga-Power    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8676,PE  095CCJP,PE-095CCJP,95,Studio: Mpower Yoga-Sculpt    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8675,PE  095CBJP,PE-095CBJP,95,Studio: Mpower Yoga-Pilates    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8674,PE  095CAJP,PE-095CAJP,95,Studio: Mpower Yoga-Climb    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8673,PE  095BAJP,PE-095BAJP,95,Studio: Claremont Yoga-Unlimited    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8672,PE  095B JP,PE-095B-JP,95,Studio: Claremont Yoga    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8671,PE  095AAJP,PE-095AAJP,95,Studio: The Body Center-Pilates    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8670,PE  074  PO,PE-074-PO,74,Water Polo    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8669,PE  064A JP,PE-064A-JP,64,Medi Ball/Cross Training - Adv    ,2023-04-26 00:25:56 UTC,2023-04-26 00:25:56 UTC
8668,PE  040A PO,PE-040A-PO,40,Pickleball - Intermediate    ,2023-04-26 00:25:55 UTC,2023-04-26 00:25:55 UTC
8667,PE  026A PO,PE-026A-PO,26,Shotokan Karate Int/Adv    ,2023-04-26 00:25:55 UTC,2023-04-26 00:25:55 UTC
8666,PHIL179F HM,PHIL179F-HM,179,AI and Ethics  / Special Topics in Philosophy  ,2023-04-26 00:25:40 UTC,2023-04-26 00:25:40 UTC
8665,PHIL038H CM,PHIL038H-CM,38,Honors Intro: Reason and Reality    ,2023-04-26 00:25:40 UTC,2023-04-26 00:25:40 UTC
8664,SOC 035X PZ,SOC-035X-PZ,35,SRX: Race & Ethnic Relations    ,2023-04-26 00:25:35 UTC,2023-04-26 00:25:35 UTC
8663,ORST173  PZ,ORST173-PZ,173,Community of Practice    ,2023-04-26 00:25:35 UTC,2023-04-26 00:25:35 UTC
8662,ORST151  PZ,ORST151-PZ,151,Student Pedogogical Partnerships    ,2023-04-26 00:25:35 UTC,2023-04-26 00:25:35 UTC
8661,NEUR086L KS,NEUR086L-KS,86,Hormones and Behavior    ,2023-04-26 00:25:20 UTC,2023-04-26 00:25:20 UTC
8660,MUS 179D HM,MUS-179D-HM,179,Electronic Music Composition  / Special Topics in Music  ,2023-04-26 00:25:19 UTC,2023-04-26 00:25:19 UTC
8659,MUS 118  PO,MUS-118-PO,118,Composition    ,2023-04-26 00:25:19 UTC,2023-04-26 00:25:19 UTC
8658,MUS 008  PO,MUS-008-PO,8,Group Guitar    ,2023-04-26 00:25:19 UTC,2023-04-26 00:25:19 UTC
8657,MS  179G HM,MS-179G-HM,179,Dead Media  /Special Topics in Media Studies  ,2023-04-26 00:25:01 UTC,2023-04-26 00:25:01 UTC
8656,MS  124  PO,MS-124-PO,124,Self-Rep of Islam/MidEast in US    ,2023-04-26 00:25:01 UTC,2023-04-26 00:25:01 UTC
8655,MS  073  PO,MS-073-PO,73,"Capitalism, Technology & Race    ",2023-04-26 00:25:01 UTC,2023-04-26 00:25:01 UTC
8654,MS  071  PO,MS-071-PO,71,Conspiracy and Media    ,2023-04-26 00:25:01 UTC,2023-04-26 00:25:01 UTC
8653,MATH108Y PZ,MATH108Y-PZ,108,Biography in Mathematics    ,2023-04-26 00:24:56 UTC,2023-04-26 00:24:56 UTC
8652,LIT 154  CM,LIT-154-CM,154,What is World Literature    ,2023-04-26 00:24:44 UTC,2023-04-26 00:24:44 UTC
8651,LIT 148  CM,LIT-148-CM,148,Literature and the Brain    ,2023-04-26 00:24:44 UTC,2023-04-26 00:24:44 UTC
8650,LGCS131  PO,LGCS131-PO,131,Evolution of Language and Music    ,2023-04-26 00:24:42 UTC,2023-04-26 00:24:42 UTC
8649,COGS182  PZ,COGS182-PZ,182,Seminar on Cognition & the Arts    ,2023-04-26 00:24:42 UTC,2023-04-26 00:24:42 UTC
8648,RLST093  CM,RLST093-CM,93,Religion & Politics in Israel    ,2023-04-26 00:24:25 UTC,2023-04-26 00:24:25 UTC
8647,ID  099  PO,ID-099-PO,99,Integrating the Liberal Arts    ,2023-04-26 00:24:18 UTC,2023-04-26 00:24:18 UTC
8646,GEOG179H HM,GEOG179H-HM,179,Critical Geog of Silicon Valley  / Special Topics in Geography  ,2023-04-26 00:23:57 UTC,2023-04-26 00:23:57 UTC
